16
0.100000
0.050000
0.090000
0.050000
0.040000
0.090000
0.050000
0.040000
0.100000
0.075000
0.050000
0.050000
0.100000
0.075000
0.050000
0.050000
24
0 1
1 2
1 5
1 8
1 12
2 5
2 8
2 12
5 8
5 12
8 9
8 13
12 9
12 13
8 12
9 13
2 3
3 4
5 6
6 7
9 10
10 11
13 14
14 15
-0.718564 -0.011366 1.417623  -0.778465 -0.013764 1.217451  -0.814681 0.087153 1.178285  -0.810617 0.197988 0.986969  -0.791760 0.194530 0.638681  -0.831777 -0.205793 1.153473  -0.789709 -0.266692 0.963546  -0.771780 -0.308598 0.660502  -0.773768 0.020003 0.759222  -0.786813 0.035878 0.550420  -0.828786 0.044558 0.245480  -0.832394 0.039185 0.042616  -0.829801 -0.169345 0.746010  -0.814376 -0.160210 0.540070  -0.820277 -0.191305 0.235651  -0.814131 -0.203358 0.032958  
-0.722011 -0.037391 1.398265  -0.770071 -0.040236 1.194766  -0.791201 0.063237 1.161100  -0.820119 0.193042 0.984586  -0.765067 0.184154 0.636421  -0.814451 -0.228704 1.121659  -0.831353 -0.294089 0.929188  -0.754097 -0.326221 0.634050  -0.772931 0.015778 0.738127  -0.785142 0.038136 0.531864  -0.830148 0.038286 0.228462  -0.834471 0.028745 0.026056  -0.810601 -0.177062 0.716334  -0.796984 -0.159220 0.510696  -0.828593 -0.204055 0.209839  -0.831361 -0.201289 0.007393  
-0.705901 -0.040033 1.401404  -0.756507 -0.038503 1.197980  -0.799922 0.063855 1.165830  -0.815964 0.191497 0.985917  -0.756459 0.179953 0.638884  -0.817486 -0.228812 1.127665  -0.822105 -0.298458 0.934900  -0.754156 -0.332697 0.637293  -0.779938 0.014692 0.742119  -0.783312 0.034119 0.534706  -0.825188 0.038463 0.229856  -0.830659 0.031210 0.027261  -0.809681 -0.181338 0.722613  -0.791213 -0.163250 0.516428  -0.819598 -0.200862 0.214172  -0.824112 -0.197380 0.011791  
-0.702695 -0.041312 1.397696  -0.751451 -0.037872 1.194934  -0.789611 0.065654 1.160437  -0.814438 0.188176 0.978186  -0.753510 0.171137 0.633875  -0.812993 -0.226525 1.127455  -0.822219 -0.301893 0.938094  -0.751716 -0.334298 0.641417  -0.767813 0.009091 0.739336  -0.783037 0.030465 0.533119  -0.827036 0.040351 0.230343  -0.840814 0.028697 0.028560  -0.810455 -0.183306 0.720604  -0.796452 -0.167800 0.514320  -0.819108 -0.203221 0.211484  -0.826884 -0.194755 0.009313  
-0.696548 -0.059105 1.393626  -0.749144 -0.048686 1.191196  -0.790598 0.053716 1.159255  -0.812408 0.179252 0.978658  -0.738129 0.162741 0.634389  -0.800276 -0.238597 1.121118  -0.811972 -0.307106 0.929381  -0.743925 -0.348214 0.633310  -0.772817 0.005057 0.736403  -0.780354 0.026789 0.529645  -0.827802 0.030429 0.224981  -0.832436 0.034203 0.022450  -0.804902 -0.188640 0.714817  -0.788706 -0.170345 0.508673  -0.813424 -0.205196 0.205284  -0.826283 -0.195539 0.003381  
-0.694230 -0.063231 1.398734  -0.743906 -0.055669 1.196245  -0.772379 0.048763 1.162452  -0.810929 0.174860 0.984927  -0.739307 0.157575 0.639462  -0.799904 -0.243492 1.125449  -0.808455 -0.308920 0.931504  -0.745146 -0.356863 0.634738  -0.763073 -0.001383 0.740532  -0.775923 0.020974 0.534052  -0.815494 0.031572 0.229371  -0.834880 0.024869 0.026153  -0.801092 -0.194550 0.720127  -0.782551 -0.177388 0.515084  -0.807217 -0.210399 0.212108  -0.825467 -0.200931 0.010721  
-0.679306 -0.072300 1.395638  -0.738225 -0.059938 1.195053  -0.778508 0.041219 1.162306  -0.789674 0.170787 0.983404  -0.722223 0.161547 0.638119  -0.783102 -0.251990 1.126196  -0.790521 -0.322843 0.933631  -0.738205 -0.363416 0.633670  -0.760513 -0.010172 0.739558  -0.773404 0.011327 0.531908  -0.811764 0.022295 0.225547  -0.843705 0.022976 0.025108  -0.796259 -0.204314 0.719917  -0.779027 -0.186134 0.514415  -0.815393 -0.212159 0.211871  -0.834254 -0.193338 0.011164  
-0.674675 -0.085595 1.397035  -0.740438 -0.068855 1.198025  -0.783563 0.031775 1.165355  -0.785553 0.156740 0.981818  -0.718010 0.160874 0.636324  -0.779622 -0.261735 1.127808  -0.786534 -0.328059 0.933479  -0.742028 -0.363449 0.631605  -0.764469 -0.018024 0.743286  -0.768602 0.004888 0.536776  -0.807520 0.024081 0.232431  -0.830339 0.028185 0.031066  -0.789535 -0.213245 0.721431  -0.776899 -0.192301 0.515271  -0.808412 -0.215200 0.211403  -0.826303 -0.200479 0.010207  
-0.656613 -0.088905 1.391613  -0.715472 -0.068733 1.191742  -0.763318 0.032472 1.159247  -0.782955 0.143555 0.969217  -0.709266 0.142560 0.630700  -0.770430 -0.261077 1.125596  -0.783553 -0.336700 0.935004  -0.737249 -0.376266 0.633870  -0.753376 -0.021827 0.737157  -0.748487 -0.003662 0.529022  -0.776470 0.016589 0.222806  -0.827293 0.025109 0.026552  -0.777731 -0.217197 0.719423  -0.776031 -0.199691 0.513479  -0.803762 -0.217579 0.209490  -0.835850 -0.202185 0.010209  
-0.656358 -0.098241 1.391052  -0.718819 -0.076722 1.192438  -0.760409 0.025611 1.158889  -0.769862 0.144802 0.972638  -0.705156 0.138124 0.628803  -0.777842 -0.267711 1.125199  -0.785031 -0.344705 0.934253  -0.733606 -0.382976 0.633505  -0.753348 -0.027059 0.737376  -0.739413 -0.008657 0.530491  -0.760625 0.009505 0.223275  -0.806860 0.012938 0.027892  -0.773071 -0.223312 0.718583  -0.776345 -0.203504 0.513010  -0.806835 -0.225678 0.209685  -0.829125 -0.203526 0.009723  
-0.640779 -0.110574 1.390154  -0.703375 -0.088229 1.191644  -0.745809 0.014766 1.158996  -0.741052 0.143755 0.976797  -0.703111 0.123112 0.626361  -0.764037 -0.278740 1.125690  -0.764878 -0.352504 0.935351  -0.700528 -0.394426 0.638311  -0.734535 -0.039287 0.739179  -0.711765 -0.022080 0.535252  -0.712579 -0.003588 0.229510  -0.786672 -0.009668 0.040544  -0.771779 -0.233083 0.717538  -0.773251 -0.209388 0.510664  -0.806612 -0.226494 0.207170  -0.832695 -0.206554 0.007306  
-0.626012 -0.113297 1.389731  -0.685648 -0.096290 1.190245  -0.731771 0.008136 1.159673  -0.737642 0.135841 0.977843  -0.692387 0.114131 0.627919  -0.756253 -0.283057 1.123108  -0.770211 -0.358433 0.934260  -0.689209 -0.397563 0.642856  -0.733602 -0.038478 0.737558  -0.700186 -0.024761 0.530461  -0.693152 -0.010276 0.223426  -0.756865 -0.005917 0.028591  -0.759073 -0.233395 0.716743  -0.764281 -0.211925 0.512144  -0.803491 -0.228723 0.210200  -0.833059 -0.207392 0.011172  
