16
0.100000
0.050000
0.090000
0.050000
0.040000
0.090000
0.050000
0.040000
0.100000
0.075000
0.050000
0.050000
0.100000
0.075000
0.050000
0.050000
24
0 1
1 2
1 5
1 8
1 12
2 5
2 8
2 12
5 8
5 12
8 9
8 13
12 9
12 13
8 12
9 13
2 3
3 4
5 6
6 7
9 10
10 11
13 14
14 15
-0.489574 -0.028634 1.415382  -0.543461 -0.060725 1.218707  -0.568289 0.092632 1.188954  -0.566849 0.168158 0.981099  -0.521756 0.226497 0.638851  -0.576788 -0.200819 1.150385  -0.552959 -0.286521 0.944585  -0.516724 -0.360365 0.648623  -0.536354 -0.005008 0.763074  -0.542318 0.018673 0.558879  -0.603627 0.060023 0.262321  -0.637188 0.050087 0.062957  -0.573564 -0.147809 0.748393  -0.570342 -0.130228 0.544748  -0.625442 -0.185677 0.250406  -0.645812 -0.176975 0.049379  
-0.524165 -0.031430 1.415508  -0.563167 -0.054160 1.212915  -0.589001 0.099952 1.181037  -0.605765 0.206192 0.986569  -0.536129 0.218937 0.636568  -0.601360 -0.194005 1.145424  -0.601580 -0.285293 0.939574  -0.550192 -0.367826 0.648185  -0.556125 -0.000792 0.756692  -0.568908 0.024512 0.553242  -0.608317 0.057421 0.251889  -0.637247 0.049694 0.051695  -0.603722 -0.142099 0.742752  -0.593100 -0.125109 0.538355  -0.629362 -0.188895 0.242502  -0.650382 -0.174305 0.041840  
-0.524595 -0.035826 1.412081  -0.564166 -0.056193 1.209467  -0.596170 0.097953 1.177820  -0.613030 0.204640 0.984480  -0.539758 0.224210 0.635535  -0.603848 -0.195919 1.141530  -0.608129 -0.286042 0.936566  -0.553283 -0.374193 0.647362  -0.553364 -0.002711 0.753545  -0.568148 0.022712 0.549293  -0.615426 0.056624 0.249414  -0.639598 0.049407 0.048533  -0.608742 -0.139663 0.739018  -0.592403 -0.127059 0.535171  -0.635023 -0.191990 0.240983  -0.655093 -0.173217 0.040574  
-0.526887 -0.030598 1.412861  -0.565578 -0.062585 1.211902  -0.592930 0.093269 1.181260  -0.613989 0.196006 0.986322  -0.543828 0.216815 0.636826  -0.612765 -0.199427 1.143329  -0.608222 -0.285114 0.935432  -0.552052 -0.367297 0.644826  -0.556140 -0.006840 0.757536  -0.564969 0.021627 0.554579  -0.612032 0.051834 0.254266  -0.632419 0.047645 0.052951  -0.609965 -0.143604 0.740718  -0.591433 -0.127315 0.537171  -0.633100 -0.188645 0.241453  -0.652144 -0.165874 0.041344  
-0.528359 -0.030751 1.415671  -0.571499 -0.061121 1.215646  -0.600077 0.093745 1.184783  -0.620752 0.199697 0.989250  -0.540198 0.226548 0.642403  -0.611158 -0.199913 1.146554  -0.609758 -0.285132 0.938058  -0.549744 -0.366061 0.647869  -0.559163 -0.005116 0.760967  -0.568359 0.021743 0.557558  -0.612795 0.056456 0.257988  -0.641318 0.049187 0.057767  -0.609185 -0.143761 0.744345  -0.591804 -0.127596 0.540790  -0.634437 -0.187587 0.245487  -0.650972 -0.170687 0.044601  
-0.528685 -0.030618 1.415530  -0.569842 -0.056179 1.214401  -0.593732 0.098511 1.180844  -0.621991 0.195973 0.981803  -0.539034 0.222550 0.635502  -0.607922 -0.195154 1.146054  -0.612189 -0.284323 0.940590  -0.555474 -0.367014 0.650236  -0.554964 -0.005037 0.758360  -0.566140 0.021288 0.554884  -0.609359 0.060496 0.255002  -0.638899 0.046248 0.055283  -0.608414 -0.142257 0.743472  -0.594721 -0.127560 0.539777  -0.636886 -0.189551 0.244434  -0.650842 -0.173876 0.043255  
-0.530687 -0.031268 1.413906  -0.570324 -0.060326 1.212357  -0.592969 0.095087 1.180967  -0.622391 0.194935 0.983167  -0.541470 0.220388 0.636300  -0.614692 -0.197811 1.143861  -0.610931 -0.278759 0.933270  -0.558197 -0.369434 0.644554  -0.557132 -0.003426 0.756660  -0.573812 0.022273 0.552563  -0.610118 0.058551 0.251519  -0.635344 0.053829 0.050704  -0.609032 -0.143085 0.742148  -0.600588 -0.126983 0.538562  -0.635846 -0.189983 0.243546  -0.651913 -0.173372 0.042654  
-0.531775 -0.029014 1.407905  -0.569898 -0.057322 1.207042  -0.596211 0.096378 1.174095  -0.614551 0.201781 0.978897  -0.545118 0.224982 0.634172  -0.603735 -0.198046 1.138763  -0.614480 -0.280609 0.930516  -0.552782 -0.370294 0.643272  -0.553484 -0.004647 0.751504  -0.568843 0.021918 0.548317  -0.617169 0.057041 0.248759  -0.641128 0.045865 0.048109  -0.609505 -0.142445 0.736969  -0.593814 -0.127423 0.533419  -0.638770 -0.194299 0.239925  -0.649135 -0.173475 0.039051  
-0.533942 -0.032406 1.412456  -0.575203 -0.057605 1.211088  -0.600666 0.097443 1.178129  -0.615412 0.188501 0.974238  -0.546143 0.216393 0.631863  -0.618335 -0.195972 1.143091  -0.614890 -0.281344 0.935020  -0.557404 -0.372912 0.647496  -0.559297 -0.005587 0.755861  -0.567196 0.021305 0.552786  -0.614996 0.058432 0.253478  -0.632339 0.054369 0.051895  -0.610003 -0.144236 0.739931  -0.595148 -0.127531 0.536029  -0.630667 -0.190805 0.239871  -0.646167 -0.172083 0.039033  
-0.534009 -0.032498 1.413039  -0.574791 -0.062651 1.213224  -0.599742 0.092297 1.180102  -0.612894 0.195032 0.983624  -0.544764 0.226328 0.634494  -0.620564 -0.201330 1.144491  -0.616259 -0.280169 0.934880  -0.556645 -0.363374 0.645255  -0.551451 -0.010004 0.758606  -0.563415 0.018074 0.554813  -0.612200 0.056951 0.255600  -0.635065 0.051652 0.054552  -0.618508 -0.143831 0.742477  -0.589065 -0.131194 0.539738  -0.634418 -0.193629 0.245251  -0.645132 -0.176627 0.044024  
-0.534024 -0.031525 1.412937  -0.577065 -0.061518 1.212862  -0.606927 0.092632 1.180994  -0.612586 0.193484 0.982361  -0.543084 0.215012 0.632763  -0.611816 -0.201308 1.144222  -0.621638 -0.287625 0.938423  -0.557441 -0.364539 0.648040  -0.560410 -0.008201 0.758236  -0.568323 0.018680 0.554408  -0.615557 0.058246 0.256185  -0.639239 0.051320 0.055300  -0.610418 -0.146739 0.741474  -0.596896 -0.129895 0.537575  -0.634890 -0.190413 0.242001  -0.650254 -0.177301 0.040716  
